epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.58,2.82165,4.22489,1.51126,0.20145,0.16828,0.0297,0.00985,2.30022,3.53928,1.25194,0.000329167,0.000329167,0.000329167
2,475.479,2.45532,3.18739,1.3142,0.23063,0.1126,0.04588,0.01655,2.29202,3.20636,1.23608,0.000629706,0.000629706,0.000629706
3,708.487,2.3956,2.99739,1.30219,0.41689,0.08395,0.06756,0.02345,2.25889,3.1157,1.27258,0.000897246,0.000897246,0.000897246
4,939.196,2.35535,2.92819,1.30836,0.24223,0.14362,0.06722,0.0235,2.24582,3.03617,1.2744,0.0008515,0.0008515,0.0008515
5,1174.17,2.33353,2.80539,1.29374,0.10654,0.14222,0.08204,0.02857,2.24837,2.87372,1.29548,0.000802,0.000802,0.000802
6,1415.32,2.32084,2.78659,1.28297,0.27265,0.15858,0.08859,0.0309,2.19889,2.80775,1.24736,0.0007525,0.0007525,0.0007525
7,1669.67,2.32503,2.70751,1.29758,0.27507,0.16456,0.08582,0.03041,2.2162,2.80958,1.27688,0.000703,0.000703,0.000703
8,5284.84,2.32126,2.6316,1.28123,0.12908,0.16833,0.09163,0.03193,2.15419,2.68697,1.26174,0.0006535,0.0006535,0.0006535
9,5459.67,2.28919,2.64114,1.27278,0.14216,0.18751,0.097,0.03378,2.15875,2.70612,1.20879,0.000604,0.000604,0.000604
10,5644.29,2.2823,2.61674,1.25029,0.13826,0.18344,0.1016,0.03606,2.15681,2.61172,1.24887,0.0005545,0.0005545,0.0005545
11,5836.14,2.21391,2.58567,1.28158,0.15499,0.22024,0.1174,0.04121,2.16984,2.60466,1.25695,0.000505,0.000505,0.000505
12,6038.22,2.2169,2.52686,1.29039,0.16849,0.2142,0.12041,0.0426,2.16293,2.60507,1.25742,0.0004555,0.0004555,0.0004555
13,6447.58,2.21895,2.48713,1.30905,0.13998,0.21648,0.11597,0.04175,2.12734,2.56534,1.22438,0.000406,0.000406,0.000406
14,6633.03,2.18959,2.4479,1.2863,0.17768,0.23769,0.13713,0.0486,2.14326,2.51035,1.23497,0.0003565,0.0003565,0.0003565
15,6854.35,2.19909,2.4148,1.27931,0.17051,0.23045,0.13523,0.04713,2.16101,2.51057,1.24275,0.000307,0.000307,0.000307
16,7079.62,2.20977,2.37306,1.29118,0.19301,0.216,0.13364,0.04708,2.15008,2.48306,1.2299,0.0002575,0.0002575,0.0002575
17,7313.28,2.1777,2.33122,1.28061,0.17731,0.24311,0.14166,0.05102,2.14268,2.43108,1.23187,0.000208,0.000208,0.000208
18,7545.22,2.18652,2.32929,1.2571,0.17647,0.26479,0.14077,0.05102,2.13412,2.41064,1.22472,0.0001585,0.0001585,0.0001585
19,7748.52,2.16672,2.28336,1.25623,0.18769,0.23025,0.14241,0.0513,2.14671,2.40811,1.22683,0.000109,0.000109,0.000109
20,7956.65,2.17743,2.266,1.26049,0.1862,0.23153,0.14186,0.05119,2.1384,2.40142,1.22893,5.95e-05,5.95e-05,5.95e-05
